conceptType,conceptUri,skillType,reuseLevel,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/429062f1-a958-43ea-83dd-4e1af078c156,skill/competence,transversal,nieuwsgierigheid tonen,released,nieuwsgierig zijn,"Blijk geven van een levendige belangstelling voor nieuw leven, een open houding ten aanzien van ervaring, het zoeken van onderwerpen en fascinerende zaken, actief zoeken naar en ontdekken van nieuwe gebieden.",http://data.europa.eu/esco/skill/f5c9eef3-0495-4747-9519-d71a58d252bd,de bereidheid tonen om te leren
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/468135b7-5757-48c3-9509-fde0e13ec5be,skill/competence,transversal,persoonlijke vooruitgang beheren,released,,"De leiding nemen over de eigen vaardigheden en competenties en deze in de markt zetten om vooruitgang te boeken in werk en privéleven.
  ",http://data.europa.eu/esco/skill/91860993-1a8b-4473-91f3-600aa1924bd0,een proactieve aanpak hanteren
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/469748ce-051a-407e-9099-0c9415ac2705,skill/competence,transversal,uitdagingen positief benaderen,released,,"Een positieve houding aannemen en een constructieve aanpak hanteren bij het aangaan van uitdagingen.
  ",http://data.europa.eu/esco/skill/2b2c3254-7f6c-47e2-84f1-aece946fbfae,een positieve houding bewaren
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4707da90-9cfc-46ca-8de0-38a0b7bfb137,skill/competence,transversal,analytisch denken,released,gestructureerd denken | logisch denken | verbanden kunnen zien,"Gedachten vormen via logica en redenering om de sterke en zwakke punten van alternatieve oplossingen, conclusies of benaderingen van problemen in kaart te brengen.",http://data.europa.eu/esco/skill/fff1d675-c36a-4c12-9cd4-407f21ccd06a,"informatie, ideeën en concepten verwerken"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/49de9958-2aa4-4eef-a89d-fe5d5bcd28c4,skill/competence,transversal,zich aan verandering aanpassen,released,zich aan veranderingen aanpassen,Veranderen van iemands houding of gedrag om aanpassingen op de werkplek mogelijk te maken.,http://data.europa.eu/esco/skill/f5c9eef3-0495-4747-9519-d71a58d252bd,de bereidheid tonen om te leren
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4c3ab565-747c-4db3-8c47-79e8d6f98cf4,skill/competence,transversal,manieren vinden om de negatieve gevolgen van consumptie te verminderen,released,materialen hergebruiken | producten voor eenmalig gebruik vermijden | de afvalproductie in huishoudens minimaliseren | fysieke middelen delen | producten hergebruiken | water- of energieverbruik verminderen | energieverbruik verminderen | milieuvriendelijke werkmethoden te volgen | minimalistische levensstijl beoefenen,"Beginselen, beleidsmaatregelen en regelgeving toepassen; gericht op ecologische duurzaamheid, waaronder de vermindering van afval en energie- en waterverbruik, het hergebruik en de recycling van producten, en betrokkenheid bij de gedeelde economie.
  ",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,ecologische vaardigheden en competenties toepassen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4c772721-9280-49cb-9988-b6ea3d36b06d,skill/competence,transversal,psychisch welzijn bewaken,released,,"In staat zijn bedreigingen voor het psychisch welzijn te vermijden, bijvoorbeeld tijdens het gebruik van digitale technologieën, met inbegrip van het behoud van een gezond evenwicht tussen werk en privéleven.
  ",http://data.europa.eu/esco/skill/3d54fec5-d9cb-45a0-bf8d-ffaf3790a5bb,gezondheidsvaardigheden en -competenties toepassen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4cde32b5-fc2f-4257-a8b9-5b15a67ee3e5,skill/competence,transversal,de gezondheid van anderen beschermen,released,,"Letsel voorkomen aan en ondersteuning bieden voor het herstel van familieleden, voogden en medeburgers, met inbegrip van een adequate reactie in geval van ongevallen zoals het verlenen van eerste hulp.
  ",http://data.europa.eu/esco/skill/3d54fec5-d9cb-45a0-bf8d-ffaf3790a5bb,gezondheidsvaardigheden en -competenties toepassen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5b46f572-7ced-4efd-b270-a81a164d521c,skill/competence,transversal,discussies modereren,released,,"Moderatietechnieken en -methoden toepassen om discussies tussen twee of meer mensen te leiden, met inbegrip van situaties zoals workshops, conferenties of online-evenementen. Ervoor zorgen dat het debat correct en beleefd verloopt.
  ",http://data.europa.eu/esco/skill/6f142deb-03a9-4cd7-94ce-e0f023ae2169,communiceren
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5c3ab99d-a3f1-4620-9602-d12d2151a03d,skill/competence,transversal,"kennis van wetenschap, technologie en techniek toepassen",released,,"Een begrip van de fysische wereld en haar heersende beginselen ontwikkelen en toepassen, bijvoorbeeld door redelijke voorspellingen te doen over oorzaken en gevolgen, deze voorspellingen te toetsen en metingen uit te voeren met geschikte eenheden, instrumenten en apparatuur.
  ",http://data.europa.eu/esco/skill/44ff6716-7d71-4a16-821b-61d10e9e290d,algemene kennis toepassen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5c526c52-4f0a-4647-8c51-c91568acebb1,skill/competence,transversal,ruimtelijke informatie verwerken,released,,"In staat zijn een mentale voorstelling te maken van de positie en onderlinge verhouding van lichamen in driedimensionale ruimten en daarbij een goed gevoel voor proporties ontwikkelen.
  ",http://data.europa.eu/esco/skill/edc72cfe-78a8-4531-b00f-92992a0bb8cb,werken met maten en getallen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5ca953f7-541d-4f67-bc55-7721348366cf,skill/competence,transversal,de diversiteit van culturele waarden en normen eerbiedigen,released,,"Blijk geven van interculturele competenties en respect voor de eigen culturele waarden en normen. Tolerantie en waardering aan de dag leggen voor de verschillende waarden en normen die verschillende mensen en culturen aanhangen en die onder verschillende omstandigheden of op verschillende tijdstippen en op verschillende plaatsen zijn ontwikkeld.
  ",http://data.europa.eu/esco/skill/d6e97b91-b75d-45f5-8566-667798957b0f,maatschappelijke vaardigheden en competenties toepassen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5cd1930c-278d-4929-b413-27352f5b3687,skill/competence,transversal,omgaan met onzekerheid,released,,"Onzekerheid verdragen en constructief te werk gaan in onverwachte en onvoorspelbare situaties.
  ",http://data.europa.eu/esco/skill/2b2c3254-7f6c-47e2-84f1-aece946fbfae,een positieve houding bewaren
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/609a8ac1-9d29-4237-9886-596dbbe7ca8a,skill/competence,transversal,een publiek toespreken,released,,"Op een gestructureerde, weloverwogen en directe manier een groep toehoorders toespreken om hen te informeren, te beïnvloeden of te entertainen.
  ",http://data.europa.eu/esco/skill/6f142deb-03a9-4cd7-94ce-e0f023ae2169,communiceren
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/60c78287-22eb-4103-9c8c-28deaa460da0,skill/competence,transversal,in teams werken,released,in groepen werken,Vol vertrouwen werken binnen een groep waarin ieder zijn deel in dienst van het geheel stelt.,http://data.europa.eu/esco/skill/036afa6e-cdde-4b38-a53a-8e7910a840e1,samenwerken in teams en netwerken
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/669b75d8-671c-4a1c-8e0b-6466c513c27d,skill/competence,transversal,zelfvertrouwen tonen,released,zelfzekerheid tonen,Mate van volwassenheid laten zien door het volledig begrijpen van de eigen kwaliteiten en vaardigheden die in verschillende situaties als bron van vertrouwen kunnen dienen.,http://data.europa.eu/esco/skill/2b2c3254-7f6c-47e2-84f1-aece946fbfae,een positieve houding bewaren
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/699e7c26-6502-4e78-a823-3656ff5a5b8b,skill/competence,transversal,anderen onderwijzen,released,les geven aan anderen,Anderen begeleiden of onderwijzen door relevante kennis en ondersteuning te bieden.,http://data.europa.eu/esco/skill/82463bb1-85d1-4e99-a4ce-08508fc3b2a3,anderen steunen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/6b2f8802-0cbf-436e-a37f-ca55ede41bbc,skill/competence,transversal,digitale hardware bedienen,released,,"Apparatuur zoals een beeldscherm, muis, toetsenbord, opslagapparatuur, printers en scanners gebruiken om bewerkingen uit te voeren zoals aansluiten, opstarten, afsluiten, opnieuw opstarten, bestanden opslaan en andere bewerkingen.
  ",http://data.europa.eu/esco/skill/3399045f-8078-4066-8b46-475b49b260ab,werken met digitale apparaten en toepassingen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/6b305973-8993-475f-bd8a-daf037c61401,skill/competence,transversal,"informatie, objecten en middelen organiseren",released,,"Uw taken en de processen die erbij horen begrijpen. Informatie, objecten en hulpmiddelen organiseren volgens systematische methoden en volgens bestaande normen en ervoor zorgen dat de taak wordt beheerst.
  ",http://data.europa.eu/esco/skill/66fdc34c-2326-4baa-b8ff-7a1d1015fe3a,plannen en organiseren
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/6fc6f757-6baa-49fe-9a82-6ba6a52f2e13,skill/competence,transversal,wiskundige informatie interpreteren,released,,"Blijk geven van inzicht in wiskundige termen en concepten, en wiskundige basisbeginselen en -processen toepassen om gegevens en feiten te interpreteren.
  ",http://data.europa.eu/esco/skill/edc72cfe-78a8-4531-b00f-92992a0bb8cb,werken met maten en getallen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/72d1fa5d-1b7f-48e7-84e3-6e779841ddf1,skill/competence,transversal,blijk geven van loyaliteit,released,,"Blijk geven van innerlijke gehechtheid aan een groep of organisatie, onder meer door de waarden ervan te delen en uit te dragen.
  ",http://data.europa.eu/esco/skill/925af2b5-2f4d-4cce-92cc-79e1ff887c7d,een ethische gedragscode volgen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/75d8e5d9-bef3-418b-9011-01bff9f27207,skill/competence,transversal,anderen leiden,released,,"Anderen begeleiden, coachen en leiden om gemeenschappelijke doelen te bereiken, en een leiderschapsrol aannemen binnen een groep of team. Presteren, handelen en een gedrag aannemen waardoor medewerkers worden geïnspireerd om het voorbeeld van hun leidinggevenden te volgen.
	",http://data.europa.eu/esco/skill/fe5eabaa-63f6-4c44-b405-fc3ded8d56cb,anderen leiden
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/77b636e8-fab3-41a8-8022-1e0a354059dc,skill/competence,transversal,empathie tonen,released,medeleven tonen,Empathie tonen om elk soort symbolisch geweld en isolement te voorkomen en het garanderen van voldoende aandacht voor iedereen. Het moet een vermogen omvatten om verschillende verbale en non-verbale communicatie van sentiment en gevoelens te begrijpen.,http://data.europa.eu/esco/skill/82463bb1-85d1-4e99-a4ce-08508fc3b2a3,anderen steunen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7954861c-86d4-4529-afbb-2c23dab9ac74,skill/competence,transversal,onderhandelen over een compromis,released,,"Communiceren met anderen met de bedoeling tot een gemeenschappelijk akkoord te komen of een punt van verschil op te lossen, zonder zijn eigen intenties of doelen of die van de anderen uit het oog te verliezen.",http://data.europa.eu/esco/skill/6f142deb-03a9-4cd7-94ce-e0f023ae2169,communiceren
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7a147904-22b3-498a-b4d9-7bceeb86b45d,skill/competence,transversal,omgaan met stress,released,stress aankunnen,"Omgaan met uitdagingen, verstoringen en veranderingen en herstellen van tegenslagen en tegenspoed.
  ",http://data.europa.eu/esco/skill/2b2c3254-7f6c-47e2-84f1-aece946fbfae,een positieve houding bewaren
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7a93e22f-54d8-4bf0-9213-d711f6601b49,skill/competence,transversal,efficiënt werken,released,,"Het bereiken van doelstellingen met een minimale hoeveelheid aan tijd, moeite of kosten.",http://data.europa.eu/esco/skill/14c41899-0224-4cbc-bd8c-e946ada2da87,efficiënt werken
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7d9bace0-63d0-4848-ac87-350a98082c12,skill/competence,transversal,actief deelnemen aan het maatschappelijk leven,released,,"Actief deelnemen aan activiteiten voor het algemeen of het openbaar belang, zoals burger-, gemeenschaps- of buurtinitiatieven, vrijwilligerswerk en niet-gouvernementele organisaties.
  ",http://data.europa.eu/esco/skill/d6e97b91-b75d-45f5-8566-667798957b0f,maatschappelijke vaardigheden en competenties toepassen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7dd94ad3-13d6-43fe-8b94-51fcbf67ced9,skill/competence,transversal,kritisch denken,released,informatie beoordelen,"Een oordeel vormen en verdedigen op basis van intern bewijs en externe criteria. De geloofwaardigheid en betrouwbaarheid van informatie kritisch beoordelen alvorens deze te gebruiken of aan anderen door te geven. Zelfstandig en kritisch denken ontwikkelen.
  ",http://data.europa.eu/esco/skill/fff1d675-c36a-4c12-9cd4-407f21ccd06a,"informatie, ideeën en concepten verwerken"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7f321b88-3d16-4e30-8163-5494ca8ce978,skill/competence,transversal,anderen betrekken bij milieuvriendelijk gedrag,released,,"Informatie verstrekken over en bevordering van milieuvriendelijk gedrag in sociale netwerken en op het werk.
  ",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,ecologische vaardigheden en competenties toepassen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/83e6510b-ffeb-4aec-959c-4265fd0ff7b7,skill/competence,transversal,gedetailleerd werken,released,aandacht hebben voor detail | nauwkeurig werken,"Met zorg uitvoeren van een taak op alle betrokken gebieden, hoe klein ook.",http://data.europa.eu/esco/skill/14c41899-0224-4cbc-bd8c-e946ada2da87,efficiënt werken
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/88b0c49e-7c2e-4ccc-aca3-fbd4bbc2081c,skill/competence,transversal,met kennis van zaken gebruikmaken van het gezondheidszorgstelsel,released,,"De juiste preventieve en curatieve aanbieders van gezondheidsdiensten identificeren en selecteren en de juiste medicatie veilig beheren.
  ",http://data.europa.eu/esco/skill/3d54fec5-d9cb-45a0-bf8d-ffaf3790a5bb,gezondheidsvaardigheden en -competenties toepassen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/896a5e0c-7ac9-4e59-a9bf-17fdca6b1c37,skill/competence,transversal,de beginselen van de democratie en de rechtsstaat bevorderen,released,,"Een actieve rol spelen bij de bevordering van de beginselen van democratie, sociale rechtvaardigheid en de rechtsstaat. Discriminatie op grond van etnische, culturele of seksuele identiteit of geaardheid aan de kaak stellen, maar ook op grond van sociale, educatieve of economische achtergrond, door de gevolgen die geplande acties, waaronder wetgeving, beleid of programma’s, kunnen hebben op verschillende groepen te evalueren en te verwoorden.
  ",http://data.europa.eu/esco/skill/d6e97b91-b75d-45f5-8566-667798957b0f,maatschappelijke vaardigheden en competenties toepassen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/93350886-a21b-4e61-a1b1-319a325c0f90,skill/competence,transversal,zichzelf creatief uitdrukken,released,,"Zang, dans, instrumentale muziek, acteerprestaties of beeldende kunsten kunnen inzetten om zich creatief uit te drukken.
  ",http://data.europa.eu/esco/skill/6115ff80-3d84-4e87-8e2b-6ede7ee004b4,culturele vaardigheden en competenties toepassen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/96de2e86-e287-41f2-88ab-15a2343afc6f,skill/competence,transversal,conflicten oplossen,released,omgaan met conflicten,"Bemiddelen in conflicten en gespannen situaties door op te treden tussen de partijen en te streven naar overeenstemming, verzoening en probleemoplossing. Een conflict zo beslechten dat geen van de slachtoffers zich slecht behandeld voelt en ruzies bij voorbaat vermijden.
  ",http://data.europa.eu/esco/skill/6f142deb-03a9-4cd7-94ce-e0f023ae2169,communiceren
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/98a999db-72d5-4657-a0b0-2f850afd4368,skill/competence,transversal,uiteenlopende culturele en artistieke uitingen waarderen,released,,"Esthetische gevoeligheid, belangstelling en openheid aan de dag leggen voor kunstuitingen met verschillende culturele achtergronden.
  ",http://data.europa.eu/esco/skill/6115ff80-3d84-4e87-8e2b-6ede7ee004b4,culturele vaardigheden en competenties toepassen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9bf266a6-188b-4d17-a22f-2f266d76832b,skill/competence,transversal,bereidheid tonen om te leren,released,bereid zijn om te leren,Een positieve houding aan de dag leggen ten aanzien van nieuwe en uitdagende eisen die alleen via levenslang leren kunnen worden vervuld.,http://data.europa.eu/esco/skill/f5c9eef3-0495-4747-9519-d71a58d252bd,de bereidheid tonen om te leren
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9c0f93f7-2592-4d4d-9673-fd640502345f,skill/competence,transversal,"met precisie gebruikmaken van apparatuur, gereedschap of technologie",released,,"Werkstukken, gereedschappen, precisie-instrumenten of -apparatuur zelfstandig gebruiken om handwerk uit te voeren, met of zonder minimale opleiding.
  ",http://data.europa.eu/esco/skill/ccb6db6a-8538-431c-b740-5f241bdb71cf,objecten en apparatuur bedienen en besturen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/9cfd2219-553c-4d67-81e5-951e87c65135,skill/competence,transversal,gedurende lange tijd geconcentreerd blijven,released,concentratie gedurende lange tijd behouden,Gedurende een lange tijd geconcentreerd blijven om een juist oordeel te kunnen vormen en de juiste beslissingen te kunnen nemen.,http://data.europa.eu/esco/skill/14c41899-0224-4cbc-bd8c-e946ada2da87,efficiënt werken
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a628d2d1-f40a-4c37-a357-2801726f2996,skill/competence,transversal,problemen vaststellen,released,,"Problemen en vraagstukken opsporen en herkennen, en de best mogelijke handelswijze vaststellen. Problemen melden indien nodig.
  ",http://data.europa.eu/esco/skill/13d301d0-98cb-414f-a8f9-a3f059228133,het ondervangen van problemen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a68bdf1e-b325-4880-b456-192c2891931a,skill/competence,transversal,fysiek fit blijven,released,,"Een preventieve en gezonde houding aannemen en toepassen, met inbegrip van regelmatige lichaamsbeweging, een gezonde slaaproutine en een gezonde voeding.
  ",http://data.europa.eu/esco/skill/3d54fec5-d9cb-45a0-bf8d-ffaf3790a5bb,gezondheidsvaardigheden en -competenties toepassen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/adc6dc11-3376-467b-96c5-9b0a21edc869,skill/competence,transversal,problemen oplossen,released,,"Oplossingen vinden voor praktische, operationele of conceptuele problemen in een brede waaier aan contexten.
  ",http://data.europa.eu/esco/skill/13d301d0-98cb-414f-a8f9-a3f059228133,het ondervangen van problemen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/b00e948c-19be-4951-8cff-60f88f1046e9,skill/competence,transversal,verantwoordelijkheden delegeren,released,,"Verantwoordelijkheden, activiteiten en taken aan anderen delegeren naar gelang van hun vermogen, voorbereidingsniveau en vakbekwaamheid. Ervoor zorgen dat mensen begrijpen wat ze moeten doen en wanneer ze dat moeten doen.
  ",http://data.europa.eu/esco/skill/fe5eabaa-63f6-4c44-b405-fc3ded8d56cb,anderen leiden
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/b080a008-a35d-4bd0-92e9-edf3773bb2b7,skill/competence,transversal,software voor communicatie en samenwerking gebruiken,released,,"Eenvoudige digitale instrumenten en technologieën gebruiken om met anderen te communiceren, te interageren en samen te werken.
  ",http://data.europa.eu/esco/skill/3399045f-8078-4066-8b46-475b49b260ab,werken met digitale apparaten en toepassingen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/b19e0820-a96f-4c0a-a724-3c056180c1b3,skill/competence,transversal,teamgeest opbouwen,released,,"Een relatie op basis van wederzijds vertrouwen, respect en samenwerking uitbouwen tussen leden van hetzelfde team.
  ",http://data.europa.eu/esco/skill/fe5eabaa-63f6-4c44-b405-fc3ded8d56cb,anderen leiden
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/b40584aa-7c63-4eed-9422-a9798fb95fdc,skill/competence,transversal,improviseren,released,,"In staat zijn te improviseren en onmiddellijk en zonder vooruit te plannen te reageren op onbekende situaties.
  ",http://data.europa.eu/esco/skill/e84d080a-ff6d-41a7-b7b9-133e97c7bf00,creatief en innovatief denken
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/b618584f-6bdf-4d8f-89a7-f28c2c95afc2,skill/competence,transversal,voorschriften naleven,released,,"Regels, voorschriften en richtsnoeren met betrekking tot een specifiek domein of een specifieke sector naleven en respecteren en in de dagelijkse activiteiten toepassen.
  ",http://data.europa.eu/esco/skill/925af2b5-2f4d-4cce-92cc-79e1ff887c7d,een ethische gedragscode volgen
